Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-06-02 15:10:00,2024-06-02 17:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-06-02 16:10:00,2024-06-02 18:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-06-02 12:40:00,2024-06-02 15:00:00,CAI,JED,Saudia,2 hr 20 min,238.0,0,,2024-05-27,115.0,0.0
2024-06-03 09:45:00,2024-06-03 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-03 23:35:00,2024-06-04 01:45:00,CAI,JED,Flyadeal,2 hr 10 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-03 09:25:00,2024-06-03 11:50:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 11:15:00,2024-06-03 13:30:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-06-03 21:15:00,2024-06-04 00:00:00,CAI,JED,Flyadeal,2 hr 45 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-03 01:15:00,2024-06-03 03:40:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 15:35:00,2024-06-03 18:00:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 18:10:00,2024-06-03 20:35:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 19:05:00,2024-06-03 21:30:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 22:00:00,2024-06-04 00:25:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 15:00:00,2024-06-03 17:10:00,CAI,JED,FlyEgypt,2 hr 10 min,97.0,0,,2024-05-27,117.0,0.0
2024-06-03 06:00:00,2024-06-03 08:10:00,CAI,JED,Air Arabia Egypt,2 hr 10 min,101.0,0,,2024-05-27,117.0,0.0
2024-06-03 04:00:00,2024-06-03 06:20:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,108.0,-6.0
2024-06-03 10:20:00,2024-06-03 12:40:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,113.0,0.0
